t,C,sigma,norm
258,1.0656565421383724e-11,0.0,0.11656135722114348
259,1.1482765181049367e-11,0.0,0.11627161280651788
260,1.2368527448033522e-11,0.0,0.11598350522400509
261,1.3317818604036318e-11,0.0,0.11569701860466776
262,1.4334846990884575e-11,0.0,0.11541213729739605
263,1.5424076287875717e-11,0.0,0.11512884586505039
264,1.65902395498358e-11,0.0,0.11484712908068749
265,1.783835393445049e-11,0.0,0.11456697192386854
266,1.9173736148474123e-11,0.0,0.11428835957704608
267,2.0602018643498857e-11,0.0,0.11401127742202868
268,2.2129166593074255e-11,0.0,0.11373571103652129
269,2.3761495684107913e-11,0.0,0.11346164619073833
270,2.550569075665015e-11,0.0,0.11318906884408936
271,2.7368825327372465e-11,0.0,0.11291796514193413
272,2.93583820332887e-11,0.0,0.11264832141240563
273,3.148227403354247e-11,0.0,0.1123801241633001
274,3.374886740839443e-11,0.0,0.11211336007903136
275,3.6167004595887716e-11,0.0,0.11184801601764864
276,3.874602890805236e-11,0.0,0.11158407900791593
277,4.149581016992841e-11,0.0,0.11132153624645132
278,4.442677152614452e-11,0.0,0.11106037509492543
279,4.754991746128439e-11,0.0,0.1108005830773166
280,5.087686308180756e-11,0.0,0.11054214787722241
281,5.441986470886676e-11,0.0,0.11028505733522516
282,5.819185183297761e-11,0.0,0.11002929944631124
283,6.220646048315412e-11,0.0,0.10977486235734181
284,6.647806806482106e-11,0.0,0.1095217343645746
285,7.102182972255487e-11,0.0,0.10926990391123495
286,7.585371628548958e-11,0.0,0.10901935958513538
287,8.099055385505148e-11,0.0,0.10877009011634219
288,8.64500650965596e-11,0.0,0.10852208437488824
289,9.225091229814651e-11,0.0,0.10827533136853064
290,9.841274226241879e-11,0.0,0.10802982024055256
291,1.0495623309828606e-10,0.0,0.10778554026760781
292,1.1190314298244674e-10,0.0,0.10754248085760744
293,1.1927636096212385e-10,0.0,0.10730063154764734
294,1.2709995987280003e-10,0.0,0.10705998200197588
295,1.35399251446904e-10,0.0,0.1068205220100005
296,1.4420084369165625e-10,0.0,0.10658224148433298
297,1.5353270061658632e-10,0.0,0.10634513045887148
298,1.6342420439358994e-10,0.0,0.10610917908691954
299,1.7390622003480446e-10,0.0,0.10587437763934072
300,1.8501116267604086e-10,0.0,0.10564071650274788
301,1.9677306755602626e-10,0.0,0.10540818617772695
302,2.0922766278427914e-10,0.0,0.1051767772770937
303,2.2241244499306388e-10,0.0,0.10494648052418341
304,2.363667579715491e-10,0.0,0.10471728675117235
305,2.511318743830304e-10,0.0,0.1044891868974302
306,2.667510806688676e-10,0.0,0.10426217200790346
307,2.8326976524563886e-10,0.0,0.10403623323152825
308,3.007355101049153e-10,0.0,0.10381136181967263
309,3.191981859280325e-10,0.0,0.10358754912460712
310,3.3871005083125073e-10,0.0,0.10336478659800358
311,3.593258528597872e-10,0.0,0.10314306578946102
312,3.8110293635234347e-10,0.0,0.10292237834505842
313,4.041013523009571e-10,0.0,0.10270271600593357
314,4.283839728342755e-10,0.0,0.1024840706068876
315,4.5401660995567335e-10,0.0,0.10226643407501454
316,4.810681386710328e-10,0.0,0.1020497984283554
317,5.096106246444526e-10,0.0,0.10183415577457627
318,5.397194565236777e-10,0.0,0.10161949830967004
319,5.714734830806151e-10,0.0,0.1014058183166808
320,6.049551553159543e-10,0.0,0.10119310816445118
321,6.402506736806207e-10,0.0,0.10098136030639154
322,6.77450140570567e-10,0.0,0.10077056727927063
323,7.1664771825525e-10,0.0,0.10056072170202773
324,7.579417924040581e-10,0.0,0.10035181627460528
325,8.014351413789165e-10,0.0,0.10014384377680166
326,8.472351114653648e-10,0.0,0.09993679706714428
327,8.954537982184887e-10,0.0,0.09973066908178178
328,9.46208234104291e-10,0.0,0.0995254528333952
329,9.99620582621322e-10,0.0,0.09932114141012836
330,1.0558183390917158e-09,0.0,0.09911772797453587
331,1.1149345383151687e-09,0.0,0.09891520576254959
332,1.1771079692838412e-09,0.0,0.0987135680824624
333,1.2424833971607196e-09,0.0,0.09851280831392926
334,1.3112117927285382e-09,0.0,0.09831291990698508
335,1.383450569521067e-09,0.0,0.09811389638107919
336,1.4593638288532838e-09,0.0,0.09791573132412605
337,1.5391226129717812e-09,0.0,0.09771841839157173
338,1.622905166551629e-09,0.0,0.09752195130547599
339,1.7108972067708742e-09,0.0,0.09732632385360973
340,1.803292202198898e-09,0.0,0.09713152988856727
341,1.900291660739929e-09,0.0,0.09693756332689328
342,2.0021054268782005e-09,0.0,0.0967444181482243
343,2.108951988476484e-09,0.0,0.09655208839444412
344,2.221058793385044e-09,0.0,0.09636056816885313
345,2.338662576123441e-09,0.0,0.09616985163535124
346,2.462009694903117e-09,0.0,0.09597993301763388
347,2.5913564792641505e-09,0.0,0.09579080659840142
348,2.7269695886052876e-09,0.0,0.09560246671858104
349,2.869126381891941e-09,0.0,0.09541490777656135
350,3.018115298832668e-09,0.0,0.09522812422743927
351,3.174236252820433e-09,0.0,0.0950421105822789
352,3.3378010359408972e-09,0.0,0.09485686140738235
353,3.5091337363559054e-09,0.0,0.09467237132357219
354,3.688571168376456e-09,0.0,0.0944886350054852
355,3.8764633155454905e-09,0.0,0.09430564718087735
356,4.073173787057078e-09,0.0,0.09412340262993989
357,4.27908028784485e-09,0.0,0.0939418961846261
358,4.494575102678838e-09,0.0,0.09376112272798848
359,4.720065594616292e-09,0.0,0.0935810771935266
360,4.9559747181585915e-09,0.0,0.09340175456454498
361,5.202741547472835e-09,0.0,0.09322314987352093
362,5.4608218200434e-09,0.0,0.09304525820148234
363,5.7306884961254125e-09,0.0,0.09286807467739491
364,6.012832334378866e-09,0.0,0.09269159447755912
365,6.307762484068958e-09,0.0,0.09251581282501616
366,6.616007094225129e-09,0.0,0.09234072498896322
367,6.938113940158285e-09,0.0,0.09216632628417763
368,7.274651067742702e-09,0.0,0.09199261207044976
369,7.62620745587628e-09,0.0,0.09181957775202469
370,7.993393697539939e-09,0.0,0.09164721877705218
371,8.376842699884331e-09,0.0,0.0914755306370451
372,8.777210403779166e-09,0.0,0.09130450886634586
373,9.195176523268077e-09,0.0,0.09113414904160118
374,9.631445305379247e-09,0.0,0.09096444678124438
375,1.008674631074959e-08,0.0,0.09079539774498574
376,1.0561835215527903e-08,0.0,0.09062699763331013
