t,peak,symmetry_error,chi,norm
357,1.0847642085,0.0027389882,0.0120000000,4.7034263583
358,1.0848253296,0.0026873917,0.0120000000,4.7035172779
359,1.0850237809,0.0029064656,0.0120000000,4.7041503050
360,1.0854284195,0.0027935461,0.0120000000,4.7046048713
361,1.0852974915,0.0027901995,0.0120000000,4.7045141394
362,1.0857994691,0.0029602990,0.0120000000,4.7044113059
363,1.0859457142,0.0030509941,0.0120000000,4.7048469754
364,1.0865105297,0.0030399357,0.0120000000,4.7053221629
365,1.0865264487,0.0031917540,0.0120000000,4.7059623169
366,1.0865530695,0.0030044871,0.0120000000,4.7066189560
367,1.0871524677,0.0031268476,0.0120000000,4.7068974272
368,1.0872131070,0.0030522674,0.0120000000,4.7076254491
369,1.0880630640,0.0031746067,0.0120000000,4.7086943605
370,1.0885795229,0.0033051885,0.0120000000,4.7088100034
371,1.0888686892,0.0032495252,0.0120000000,4.7092107371
372,1.0888030658,0.0034639778,0.0120000000,4.7095072906
373,1.0894850219,0.0033991858,0.0120000000,4.7105848186
374,1.0899069922,0.0034294209,0.0120000000,4.7108190100
375,1.0905548070,0.0035615518,0.0120000000,4.7119343978
376,1.0915170607,0.0036657681,0.0120000000,4.7129299214
377,1.0923457187,0.0037615263,0.0120000000,4.7128875813
378,1.0922499073,0.0035009437,0.0120000000,4.7136114519
379,1.0931326936,0.0034171430,0.0120000000,4.7139469521
380,1.0929084348,0.0033090863,0.0120000000,4.7147734419
381,1.0927573457,0.0034511308,0.0120000000,4.7154599581
382,1.0928196972,0.0034883627,0.0120000000,4.7156981064
383,1.0929726067,0.0035168777,0.0120000000,4.7158392967
384,1.0934895641,0.0033684460,0.0120000000,4.7167109901
385,1.0943393814,0.0032106890,0.0120000000,4.7174078191
386,1.0955135739,0.0033181649,0.0120000000,4.7185403794
387,1.0957555613,0.0030379451,0.0120000000,4.7189640402
388,1.0957951830,0.0029904827,0.0120000000,4.7187305317
389,1.0964801839,0.0030753257,0.0120000000,4.7190415641
390,1.0971104388,0.0030790776,0.0120000000,4.7197470329
391,1.0975415033,0.0030315869,0.0120000000,4.7214655176
392,1.0978411415,0.0029221798,0.0120000000,4.7213665254
393,1.0979265057,0.0030887335,0.0120000000,4.7221887451
394,1.0974315921,0.0027870441,0.0120000000,4.7227907544
395,1.0980909180,0.0030009254,0.0120000000,4.7235121639
396,1.0984994447,0.0032654553,0.0120000000,4.7243162164
397,1.0994815110,0.0033917717,0.0120000000,4.7260806164
398,1.0996624738,0.0033104912,0.0120000000,4.7271407099
399,1.1001017218,0.0034321471,0.0120000000,4.7279384929
400,1.1009906122,0.0037432360,0.0120000000,4.7286972849
401,1.1018601319,0.0034505133,0.0120000000,4.7296422042
402,1.1019220838,0.0036529779,0.0120000000,4.7304325626
403,1.1023223378,0.0036585173,0.0120000000,4.7312592183
404,1.1030377043,0.0036220033,0.0120000000,4.7312781466
405,1.1038921185,0.0036512797,0.0120000000,4.7323968114
406,1.1046652559,0.0034985480,0.0120000000,4.7332388411
407,1.1051192209,0.0036247492,0.0120000000,4.7340395973
408,1.1056509096,0.0037452614,0.0120000000,4.7350046599
409,1.1058886749,0.0037755279,0.0120000000,4.7353680892
410,1.1055463333,0.0038388445,0.0120000000,4.7355551533
411,1.1059729420,0.0039040959,0.0120000000,4.7354886350
412,1.1064467285,0.0041489115,0.0120000000,4.7369323114
413,1.1068945032,0.0040104118,0.0120000000,4.7379592762
414,1.1072424222,0.0039389836,0.0120000000,4.7388782643
415,1.1076806492,0.0039404028,0.0120000000,4.7398665842
416,1.1078066890,0.0037192235,0.0120000000,4.7404553425
417,1.1082844945,0.0037936475,0.0120000000,4.7410635798
418,1.1086904163,0.0039308612,0.0120000000,4.7418840530
419,1.1092679861,0.0040743056,0.0120000000,4.7424170959
420,1.1091695830,0.0041370600,0.0120000000,4.7427569473
421,1.1090551650,0.0039639762,0.0120000000,4.7428400859
422,1.1091161382,0.0041676735,0.0120000000,4.7432975796
423,1.1094957089,0.0042075459,0.0120000000,4.7437265905
424,1.1095288067,0.0042732298,0.0120000000,4.7445678397
425,1.1105223717,0.0043117107,0.0120000000,4.7456797734
426,1.1111235475,0.0045534664,0.0120000000,4.7464113510
427,1.1110194253,0.0046599520,0.0120000000,4.7471535492
428,1.1115229612,0.0047741141,0.0120000000,4.7478275593
429,1.1118805040,0.0047455154,0.0120000000,4.7480832270
430,1.1120229436,0.0044936161,0.0120000000,4.7483426136
431,1.1119892646,0.0044188903,0.0120000000,4.7486021476
432,1.1123456922,0.0046564482,0.0120000000,4.7493987871
433,1.1125116098,0.0046397162,0.0120000000,4.7502960112
434,1.1122850820,0.0047169191,0.0120000000,4.7506530407
435,1.1129157389,0.0049889220,0.0120000000,4.7509103017
436,1.1139526142,0.0047693456,0.0120000000,4.7516722297
437,1.1141611109,0.0045972301,0.0120000000,4.7519559796
438,1.1151798456,0.0048591778,0.0120000000,4.7529135524
439,1.1157481277,0.0052193179,0.0120000000,4.7539084662
440,1.1164197768,0.0050475534,0.0120000000,4.7544968511
441,1.1174535730,0.0052657343,0.0120000000,4.7557633563
442,1.1174668733,0.0053175559,0.0120000000,4.7564164007
443,1.1176535901,0.0052612261,0.0120000000,4.7570538563
444,1.1178123062,0.0051156142,0.0120000000,4.7584919442
445,1.1192329940,0.0053835536,0.0120000000,4.7596005644
446,1.1197183333,0.0055226068,0.0120000000,4.7602197856
447,1.1203456115,0.0056443410,0.0120000000,4.7612752350
448,1.1208963274,0.0053543377,0.0120000000,4.7624068819
449,1.1214067991,0.0054025827,0.0120000000,4.7635315475
450,1.1222750832,0.0055588628,0.0120000000,4.7649369780
451,1.1230318196,0.0055314505,0.0120000000,4.7656955948
452,1.1231865609,0.0055127405,0.0120000000,4.7663261936
453,1.1231874813,0.0055868509,0.0120000000,4.7668516228
454,1.1238014136,0.0054790586,0.0120000000,4.7674382002
455,1.1237773012,0.0052133626,0.0120000000,4.7683855077
456,1.1250106535,0.0051199467,0.0120000000,4.7692960347
457,1.1253641649,0.0050293767,0.0120000000,4.7701441302
458,1.1254140853,0.0050310252,0.0120000000,4.7708190463
459,1.1266309033,0.0051345046,0.0120000000,4.7719976252
460,1.1273167674,0.0052549025,0.0120000000,4.7728945576
461,1.1276466286,0.0049676506,0.0120000000,4.7734533396
462,1.1283723127,0.0051077939,0.0120000000,4.7743228124
