t,v0,T,coherence
2.382,6.0,0.4529678206006872,0.06053562945097527
2.388,6.0,0.4462332065311961,0.062253362316802265
2.394,6.0,0.4392773668673907,0.06349926028869511
2.4,6.0,0.432426494376233,0.06434136166117016
2.406,6.0,0.42604409288898265,0.06493274047182221
2.412,6.0,0.4204932381470562,0.0654851594378763
2.418,6.0,0.41609478441535186,0.0662198162471896
2.424,6.0,0.4130903241214135,0.06730220922398597
2.43,6.0,0.4116171262985751,0.06879078449669529
2.436,6.0,0.4116987029953182,0.07062217055133793
2.442,6.0,0.41325042850039684,0.0726408129387669
2.448,6.0,0.41609610886484505,0.0746588449562517
2.454,6.0,0.4199900533823557,0.07650859361506016
2.46,6.0,0.4246403535335516,0.07805873373866092
2.466,6.0,0.4297316384959907,0.07920523770935783
2.472,6.0,0.43494781873147004,0.07986720115235409
2.478,6.0,0.439995454738047,0.07999306319894722
2.484,6.0,0.4446261370379158,0.07954761107711021
2.49,6.0,0.4486536164852146,0.0784884578595041
2.496,6.0,0.451960629123615,0.07676005301842213
2.5020000000000002,6.0,0.4544929850967611,0.07429826783971108
2.508,6.0,0.4562430703736472,0.07103939814270822
2.5140000000000002,6.0,0.4572291497052018,0.06693761085836893
2.52,6.0,0.45747807313156585,0.06199170178609954
2.5260000000000002,6.0,0.4570168978945564,0.056287864854022096
2.532,6.0,0.45587487299643703,0.050072112936281075
2.5380000000000003,6.0,0.45409331152996535,0.043825535177786284
2.544,6.0,0.4517385962448485,0.038319165713685904
2.5500000000000003,6.0,0.448913286723687,0.03464793246587236
2.556,6.0,0.4457614428496366,0.033977254451828226
2.562,6.0,0.44246587224722567,0.03677056766495136
2.568,6.0,0.4392367080445434,0.04237885934386475
2.574,6.0,0.43629237801435095,0.0496672045689437
2.58,6.0,0.4338357706549829,0.05764844563154991
2.586,6.0,0.4320301892515822,0.06560936406218763
2.592,6.0,0.4309807762159366,0.07299807760719801
2.598,6.0,0.4307265942606582,0.07912868298896714
2.604,6.0,0.4312460291802861,0.08391580783289004
2.61,6.0,0.4324742372751076,0.08752761776456203
2.616,6.0,0.4343272803688343,0.09002268052965406
2.622,6.0,0.4367252328022574,0.09147673860989136
2.628,6.0,0.4396070991013038,0.09206235239325944
2.634,6.0,0.4429337654207133,0.0920221199508277
2.64,6.0,0.44668004510899395,0.09155254851457063
2.646,6.0,0.45082079082818227,0.090766036931402
2.652,6.0,0.4553169959997908,0.08969867052945187
2.658,6.0,0.46010564574009405,0.08833673689870261
2.664,6.0,0.4650935392914506,0.08668376623196136
2.67,6.0,0.47015300115618847,0.0847924233012622
2.676,6.0,0.4751178129438186,0.08273317534576112
2.682,6.0,0.4797802110747923,0.08057281004489766
2.688,6.0,0.48389245339849346,0.07836962428932022
2.694,6.0,0.4871771898338433,0.07627505206301217
2.7,6.0,0.4893491118095626,0.07457127851751331
2.706,6.0,0.49014716754211674,0.07345440378947257
2.712,6.0,0.48937293525859704,0.07297707521138241
2.718,6.0,0.4869280693219271,0.07307019128544176
2.724,6.0,0.4828424697930899,0.07355843986395659
2.73,6.0,0.4772856647715361,0.07418278791839918
2.736,6.0,0.47055684717242335,0.07463627070423927
2.742,6.0,0.4630535150898888,0.07462690496133574
2.748,6.0,0.4552235679865887,0.07392468712307518
2.754,6.0,0.44750971941834344,0.07237455442037961
2.7600000000000002,6.0,0.44029695421975923,0.06997594553466664
2.766,6.0,0.43387303302357105,0.06682407120544175
2.7720000000000002,6.0,0.4284085403126723,0.06303701819306115
2.778,6.0,0.423958088784016,0.05883791121710854
2.7840000000000003,6.0,0.4204793437560812,0.054559414859267845
2.79,6.0,0.4178634200051252,0.050479808277223925
2.7960000000000003,6.0,0.4159696368811363,0.04680150331012346
2.802,6.0,0.41465899603442846,0.043614902170296455
2.8080000000000003,6.0,0.41382254935469986,0.04088087960394707
2.814,6.0,0.41340177187091676,0.038457205147544346
2.82,6.0,0.4133979990412998,0.036147098236882044
2.826,6.0,0.413868123407446,0.03373911819377458
2.832,6.0,0.4149052737983664,0.031043630506843667
2.838,6.0,0.4166068899327119,0.02793089692109361
2.844,6.0,0.4190372376012043,0.02444164714075473
2.85,6.0,0.42219466297263286,0.020753934958747704
2.856,6.0,0.4259936543159991,0.01726806227420029
2.862,6.0,0.4302674220140782,0.014744237225433752
2.868,6.0,0.43479003974941766,0.0142529764504842
2.874,6.0,0.4393110052500765,0.016368276003989293
2.88,6.0,0.4435918709765838,0.020555186538308862
2.886,6.0,0.4474353860702307,0.025990335905389763
2.892,6.0,0.45070130691834376,0.032157317902141665
2.898,6.0,0.45330794281289216,0.03877061980790804
2.904,6.0,0.45522306886393676,0.045643066644492164
2.91,6.0,0.4564506744795401,0.05261495323254668
2.916,6.0,0.4570203860142745,0.059482167348170745
2.922,6.0,0.4569839094276099,0.06598173714638667
2.928,6.0,0.45641844458342584,0.07208756180143558
2.934,6.0,0.45543240844709004,0.07773687918684792
2.94,6.0,0.4541666330847731,0.0829674280119031
2.946,6.0,0.4527855264168548,0.08780208240159046
2.952,6.0,0.4514570458028407,0.09211321487889249
2.958,6.0,0.4503255667412607,0.0958887268074664
2.964,6.0,0.4494852536825793,0.09906334307480771
2.97,6.0,0.4489620331506852,0.10172095774573794
2.976,6.0,0.4487096789815824,0.10390620200944987
2.982,6.0,0.4486213827885007,0.10553787730028248
2.988,6.0,0.4485541301067364,0.10645336467504138
2.994,6.0,0.4483602608433073,0.10650838833450085
3.0,6.0,0.4479191780579817,0.1056553505707063
3.0060000000000002,6.0,0.4471621351681949,0.10392389375651022
3.012,6.0,0.44608455037346517,0.10133604919171929
3.0180000000000002,6.0,0.4447435305698211,0.09789395965513273
3.024,6.0,0.44324263949950143,0.09360680296291969
3.0300000000000002,6.0,0.4417098256267099,0.088504769497784
3.036,6.0,0.4402758302808337,0.082584734110289
3.0420000000000003,6.0,0.4390584552905883,0.07604321333848481
3.048,6.0,0.4381538326625125,0.06932657178544882
3.0540000000000003,6.0,0.4376318260775654,0.06303201106451212
3.06,6.0,0.4375312390130245,0.057908276307994555
3.0660000000000003,6.0,0.4378523932563254,0.054786518011323546
3.072,6.0,0.43854845199826603,0.05425510080373323
3.078,6.0,0.43951996392412673,0.056332245378842585
3.084,6.0,0.44061749859578103,0.06044179101604946
3.09,6.0,0.44165477994709923,0.06568845904068767
3.096,6.0,0.4424309889899434,0.07129327356742171
3.102,6.0,0.44275788472501965,0.07665946242339745
