t,C,sigma,norm
267,0.9970951898707334,1.0,0.08159509701757825
268,0.9971052006185996,1.0,0.08139710319383016
269,0.9971151184079495,1.0,0.08120019095395302
270,0.9971249445791525,1.0,0.08100435017364409
271,0.9971346804470212,1.0,0.08080957086271479
272,0.9971443273014015,1.0,0.08061584316280021
273,0.9971538864077482,1.0,0.08042315734511665
274,0.9971633590076815,1.0,0.08023150380826576
275,0.9971727463195351,1.0,0.08004087307608403
276,0.9971820495388825,1.0,0.07985125579553705
277,0.9971912698390576,1.0,0.07966264273465679
278,0.9972004083716536,1.0,0.07947502478052137
279,0.9972094662670161,1.0,0.07928839293727592
280,0.9972184446347179,1.0,0.07910273832419386
281,0.9972273445640276,1.0,0.07891805217377722
282,0.9972361671243568,1.0,0.07873432582989563
283,0.997244913365707,1.0,0.07855155074596246
284,0.9972535843190966,1.0,0.07836971848314767
285,0.9972621809969799,1.0,0.07818882070862616
286,0.9972707043936566,1.0,0.07800884919386124
287,0.9972791554856694,1.0,0.07782979581292172
288,0.9972875352321924,1.0,0.07765165254083259
289,0.9972958445754071,1.0,0.07747441145195784
290,0.9973040844408735,1.0,0.0772980647184152
291,0.9973122557378888,1.0,0.07712260460852167
292,0.9973203593598362,1.0,0.07694802348526932
293,0.9973283961845292,1.0,0.07677431380483071
294,0.9973363670745418,1.0,0.07660146811509305
295,0.9973442728775369,1.0,0.07642947905422065
296,0.9973521144265789,1.0,0.0762583393492449
297,0.9973598925404468,1.0,0.0760880418146812
298,0.9973676080239313,1.0,0.0759185793511722
299,0.9973752616681335,1.0,0.07574994494415678
300,0.9973828542507488,1.0,0.0755821316625642
301,0.9973903865363464,1.0,0.07541513265753286
302,0.9973978592766449,1.0,0.07524894116115304
303,0.9974052732107761,1.0,0.07508355048523328
304,0.9974126290655458,1.0,0.0749189540200896
305,0.9974199275556892,1.0,0.07475514523335734
306,0.9974271693841158,1.0,0.07459211766882488
307,0.9974343552421541,1.0,0.07442986494528901
308,0.9974414858097821,1.0,0.07426838075543124
309,0.9974485617558663,1.0,0.07410765886471467
310,0.997455583738379,1.0,0.07394769311030114
311,0.9974625524046203,1.0,0.07378847739998796
312,0.997469468391434,1.0,0.07363000571116396
313,0.9974763323254144,1.0,0.07347227208978437
314,0.9974831448231131,1.0,0.07331527064936433
315,0.9974899064912363,1.0,0.07315899556999023
316,0.9974966179268419,1.0,0.07300344109734888
317,0.9975032797175277,1.0,0.07284860154177407
318,0.9975098924416197,1.0,0.07269447127730982
319,0.9975164566683535,1.0,0.07254104474079055
320,0.9975229729580498,1.0,0.07238831643093722
321,0.9975294418622903,1.0,0.07223628090746954
322,0.997535863924086,1.0,0.07208493279023369
323,0.9975422396780426,1.0,0.07193426675834534
324,0.9975485696505233,1.0,0.07178427754934756
325,0.9975548543598067,1.0,0.07163495995838332
326,0.9975610943162413,1.0,0.07148630883738251
327,0.997567290022396,1.0,0.07133831909426275
328,0.9975734419732091,1.0,0.0711909856921441
329,0.9975795506561321,1.0,0.07104430364857726
330,0.997585616551271,1.0,0.07089826803478481
331,0.9975916401315238,1.0,0.07075287397491559
332,0.9975976218627166,1.0,0.07060811664531155
333,0.9976035622037345,1.0,0.0704639912737872
334,0.9976094616066515,1.0,0.07032049313892112
335,0.9976153205168572,1.0,0.07017761756935932
336,0.9976211393731785,1.0,0.07003535994313054
337,0.9976269186080015,1.0,0.06989371568697274
338,0.9976326586473906,1.0,0.0697526802756709
339,0.9976383599112026,1.0,0.06961224923140599
340,0.9976440228131991,1.0,0.06947241812311451
341,0.9976496477611616,1.0,0.06933318256585862
342,0.9976552351569926,1.0,0.06919453822020691
343,0.9976607853968293,1.0,0.069056480791625
344,0.9976662988711406,1.0,0.06891900602987636
345,0.9976717759648316,1.0,0.06878210972843275
346,0.9976772170573452,1.0,0.06864578772389437
347,0.9976826225227541,1.0,0.0685100358954194
348,0.9976879927298606,1.0,0.06837485016416267
349,0.9976933280422865,1.0,0.06824022649272346
350,0.997698628818566,1.0,0.0681061608846023
351,0.9977038954122348,1.0,0.06797264938366612
352,0.9977091281719176,1.0,0.06783968807362246
353,0.9977143274414122,1.0,0.06770727307750157
354,0.997719493559776,1.0,0.06757540055714703
355,0.9977246268614051,1.0,0.06744406671271432
356,0.9977297276761184,1.0,0.06731326778217743
357,0.9977347963292313,1.0,0.06718300004084313
358,0.9977398331416373,1.0,0.0670532598008729
359,0.9977448384298819,1.0,0.06692404341081229
360,0.997749812506236,1.0,0.06679534725512785
361,0.9977547556787695,1.0,0.06666716775375095
