t,peak,symmetry_error,chi,norm
382,1.0889317957,0.0034587104,0.0078407647,4.7043342773
383,1.0891231739,0.0034876170,0.0125882117,4.7045907565
384,1.0893368708,0.0033378718,0.0081787835,4.7045713022
385,1.0899976908,0.0031790791,0.0096613528,4.7047131449
386,1.0908002780,0.0032858074,0.0073199994,4.7047541861
387,1.0908016793,0.0030040448,0.0090219401,4.7044735060
388,1.0904566128,0.0029557936,0.0071770213,4.7031127450
389,1.0912690175,0.0030412194,0.0137638378,4.7038006094
390,1.0921871575,0.0030454929,0.0158154771,4.7053531108
391,1.0924288757,0.0029973831,0.0096938595,4.7065192218
392,1.0926412435,0.0028870862,0.0110051242,4.7061672799
393,1.0924987221,0.0030533744,0.0092110437,4.7063247992
394,1.0921932727,0.0027511259,0.0145500058,4.7074859255
395,1.0928763539,0.0029654862,0.0124274690,4.7082808290
396,1.0938745493,0.0032325168,0.0196519531,4.7108170466
397,1.0944350983,0.0033583339,0.0067417342,4.7113477491
398,1.0947435658,0.0032777471,0.0137400120,4.7127837979
399,1.0953414767,0.0033998193,0.0141311587,4.7140497103
400,1.0960851108,0.0037114625,0.0102698872,4.7143859012
401,1.0971668123,0.0034183079,0.0148009638,4.7159528988
402,1.0966728331,0.0036199065,0.0050950913,4.7151211770
403,1.0978681632,0.0036279519,0.0221702545,4.7182755278
404,1.0980637693,0.0035899037,0.0055581866,4.7167774775
405,1.0992596280,0.0036198303,0.0164150749,4.7188954473
406,1.0995952089,0.0034653275,0.0066186111,4.7184648634
407,1.1004803511,0.0035930823,0.0175242385,4.7205234965
408,1.1008556485,0.0037138600,0.0101530847,4.7210358845
409,1.1011452804,0.0037440801,0.0127604300,4.7215526629
410,1.1008145422,0.0038075868,0.0122560500,4.7217757129
411,1.1016551441,0.0038740668,0.0172835237,4.7229176436
412,1.1019969958,0.0041191915,0.0104565722,4.7239798897
413,1.1014728409,0.0039772057,0.0000000000,4.7221832922
414,1.1015180521,0.0039046102,0.0083517178,4.7222237103
415,1.1020162555,0.0039060808,0.0128818192,4.7233894840
416,1.1019618757,0.0036836384,0.0098857526,4.7234567045
417,1.1027253740,0.0037588909,0.0156951401,4.7248995692
418,1.1035129386,0.0038975254,0.0168735696,4.7268314070
419,1.1040235397,0.0040414817,0.0112906953,4.7271719787
420,1.1033379106,0.0041030506,0.0048497021,4.7258087526
421,1.1037479289,0.0039307441,0.0186439925,4.7274192135
422,1.1042183185,0.0041359722,0.0171986568,4.7290700380
423,1.1044726247,0.0041754040,0.0105638826,4.7291375556
424,1.1053142986,0.0042436162,0.0221197844,4.7323342385
425,1.1061642014,0.0042817581,0.0103253978,4.7330306340
426,1.1063138522,0.0045230887,0.0065418253,4.7324535111
427,1.1061398066,0.0046298141,0.0112518075,4.7329954769
428,1.1070542124,0.0047454890,0.0171736018,4.7348653757
429,1.1070369417,0.0047157843,0.0075002235,4.7340355362
430,1.1079325969,0.0044653523,0.0213658804,4.7364827085
431,1.1075399753,0.0043895957,0.0076966742,4.7357033148
432,1.1082613728,0.0046287593,0.0165812269,4.7375618749
433,1.1086329489,0.0046127314,0.0146134194,4.7390592070
434,1.1083385736,0.0046898804,0.0112605261,4.7392205560
435,1.1093853977,0.0049635850,0.0171865583,4.7406899081
436,1.1098257604,0.0047416001,0.0048009658,4.7397221063
437,1.1105608224,0.0045704044,0.0185163446,4.7415330444
438,1.1115475337,0.0048325526,0.0116943167,4.7423991708
439,1.1118942999,0.0051929299,0.0093963108,4.7427556912
440,1.1128551413,0.0050216474,0.0155960354,4.7441816275
441,1.1143027666,0.0052415140,0.0170875153,4.7466448195
442,1.1146167154,0.0052943347,0.0156950181,4.7481657163
443,1.1155953146,0.0052403008,0.0215976183,4.7510890328
444,1.1161821419,0.0050957169,0.0171874852,4.7537628734
445,1.1181136661,0.0053652487,0.0181608318,4.7563469124
446,1.1183794228,0.0055036686,0.0094086531,4.7563352139
447,1.1190469441,0.0056256019,0.0125113141,4.7575072815
448,1.1198222895,0.0053361627,0.0147023164,4.7592851913
